Index,CITY,STATE
0,A Donde,Baja California Sur
1,A Gez,Chihuahua
2,A Pompal,Veracruz
3,A.E.L.S.A.,San Luis Potosi
4,AO Estacion,Chiapas
5,Aaron Merino,Quintana Roo
6,Abachapa,Sonora
7,Abadiano,Mexico
8,Abadiano Barrio Alto,Mexico
9,Abajo,Veracruz
10,Abal,Yucatan
11,Abala,Yucatan
12,Abalo,Veracruz
13,Abandonada,Jalisco
14,Abandonado,Sonora
15,Abanoa,Tlaxcala
16,Abanos,Tlaxcala
17,Abarca,Baja California
18,Abaroa,Tlaxcala
19,Abasolo,Tamaulipas
20,Abasolo Primera Seccion,Tabasco
21,Abasolo Segunda Sección,Tabasco
22,Abasolo del Valle,Veracruz
23,Abastos,San Luis Potosi
24,Abastos Segunda,San Luis Potosi
25,Abastos Unidad Habitacional,San Luis Potosi
26,Abdenago C. García,Chihuahua
27,Abedul,Guanajuato
28,Abejones,Oaxaca
29,Abel,Veracruz
30,Abel Escobar Vicencio,Veracruz
31,Abelardo Camacho,Guerrero
32,Abelardo L. Rodriguez,Veracruz
33,Abelardo L. Rodríguez,Puebla
34,Abelardo Rodríguez,Sinaloa
35,Abelea,Aguascalientes
36,Abelena,Aguascalientes
37,Abirare,Chihuahua
38,Abispa,Chihuahua
39,Abocho,Sinaloa
40,Aborare,Chihuahua
41,Abore,Chihuahua
42,Aboreachi,Chihuahua
43,Aboreachic,Chihuahua
44,Aborichi,Chihuahua
45,Aborirare,Chihuahua
46,Aboré,Chihuahua
47,Abra,Tamaulipas
48,Abra Abajo,Nuevo Leon
49,Abra Arriba,Nuevo Leon
50,Abra Chica,Chihuahua
51,Abra Grande,Chihuahua
52,Abra de Emiliano,Tamaulipas
53,Abra del Mezquite,Nuevo Leon
54,Abra el Ebanito,Tamaulipas
55,Abraham,Oaxaca
56,Abraham Gonzales,Chihuahua
57,Abraham Gonzalez,Chihuahua
58,Abraham González,Durango
59,Abraham Martinez,Guanajuato
60,Abraham de los Santos,Oaxaca
61,Abras,Tamaulipas
62,Abras de Abajo,Nuevo Leon
63,Abras de Arriba,Nuevo Leon
64,Abras del Corozo,San Luis Potosi
65,Abrazo Deacatempan,Guerrero
66,Abrazo de Acatempan,Guerrero
67,Abrego,Zacatecas
68,Abregueros,Oaxaca
69,Abreu,Campeche
