SrNo,Municpalties,Municpalties Seat,State
0,Aguascalientes,Aguascalientes,Aguascalientes
1,Asientos,Asientos,Aguascalientes
2,Calvillo,Calvillo,Aguascalientes
3,Cosío,Cosío,Aguascalientes
4,Jesús María,Jesús María,Aguascalientes
5,Pabellón de Arteaga,Pabellón de Arteaga,Aguascalientes
6,Rincón de Romos,Rincón de Romos,Aguascalientes
7,San José de Gracia,San José de Gracia,Aguascalientes
8,Tepezalá,Tepezalá,Aguascalientes
9,El Llano,Palo Alto,Aguascalientes
10,San Francisco de los Romo,San Francisco de los Romo,Aguascalientes
11,Ensenada,Ensenada,Baja California
12,Mexicali,Mexicali,Baja California
13,Tecate,Tecate,Baja California
14,Tijuana,Tijuana,Baja California
15,Playas de Rosarito,Rosarito,Baja California
16,Comondú,Ciudad Constitución,Baja California Sur
17,Mulegé,Santa Rosalía,Baja California Sur
18,La Paz,La Paz,Baja California Sur
19,Los Cabos,San José del Cabo,Baja California Sur
20,Loreto,Loreto,Baja California Sur
21,Calkiní,Calkiní,Campeche
22,Campeche,Campeche,Campeche
23,Carmen,Ciudad del Carmen,Campeche
24,Champotón,Champotón,Campeche
25,Hecelchakán,Hecelchakán,Campeche
26,Hopelchén,Hopelchén,Campeche
27,Palizada,Palizada,Campeche
28,Tenabo,Tenabo,Campeche
29,Escárcega,Escárcega,Campeche
30,Calakmul,Xpujil,Campeche
31,Candelaria,Candelaria,Campeche
32,Acacoyagua,Acacoyagua,Chiapas
33,Acala,Acala,Chiapas
34,Acapetahua,Acapetahua,Chiapas
35,Altamirano,Altamirano,Chiapas
36,Amatán,Amatán,Chiapas
37,Amatenango de la Frontera,Amatenango de la Frontera,Chiapas
38,Amatenango del Valle,Amatenango del Valle,Chiapas
39,Ángel Albino Corzo,Jaltenango de la Paz,Chiapas
40,Arriaga,Arriaga,Chiapas
41,Bejucal de Ocampo,Bejucal de Ocampo,Chiapas
42,Berriozábal,Berriozábal,Chiapas
43,Bochil,Bochil,Chiapas
44,El Bosque,El Bosque,Chiapas
45,Cacahoatán,Cacahoatán,Chiapas
46,Catazajá,Catazajá,Chiapas
47,Cintalapa,Cintalapa de Figueroa,Chiapas
48,Coapilla,Coapilla,Chiapas
49,Comitán de Domínguez,Comitán de Domínguez,Chiapas
50,La Concordia,La Concordia,Chiapas
51,Copainalá,Copainalá,Chiapas
52,Chalchihuitán,Chalchihuitán,Chiapas
53,Chamula,Chamula,Chiapas
54,Chanal,Chanal,Chiapas
55,Chapultenango,Chapultenango,Chiapas
56,Chenalhó,Chenalhó,Chiapas
57,Chiapa de Corzo,Chiapa de Corzo,Chiapas
58,Chiapilla,Chiapilla,Chiapas
59,Chicoasén,Chicoasén,Chiapas
60,Chicomuselo,Chicomuselo,Chiapas
61,Chilón,Chilón,Chiapas
62,Escuintla,Escuintla,Chiapas
63,Francisco León,Rivera el Viejo Carmen,Chiapas
64,Frontera Comalapa,Frontera Comalapa,Chiapas
65,Frontera Hidalgo,Frontera Hidalgo,Chiapas
66,La Grandeza,La Grandeza,Chiapas
67,Huehuetán,Huehuetán,Chiapas
68,Huixtán,Huixtán,Chiapas
69,Huitiupán,Huitiupán,Chiapas
70,Huixtla,Huixtla,Chiapas
71,La Independencia,La Independencia,Chiapas
72,Ixhuatán,Ixhuatan,Chiapas
73,Ixtacomitán,Ixtacomitán,Chiapas
74,Ixtapa,Ixtapa,Chiapas
75,Ixtapangajoya,Ixtapangajoya,Chiapas
76,Jiquipilas,Jiquipilas,Chiapas
77,Jitotol,Jitotol,Chiapas
78,Juárez,Juárez,Chiapas
79,Larráinzar,San Andrés Larráinzar,Chiapas
80,Mapastepec,Mapastepec,Chiapas
81,Mazapa de Madero,Mazapa de Madero,Chiapas
82,Metapa,Metapa de Domínguez,Chiapas
83,Mitontic,Mitontic,Chiapas
84,Motozintla,Motozintla de Mendoza,Chiapas
85,Nicolás Ruíz,Nicolás Ruíz,Chiapas
86,Ocosingo,Ocosingo,Chiapas
87,Ocotepec,Ocotepec,Chiapas
88,Ocozocoautla de Espinosa,Ocozocoautla de Espinosa,Chiapas
89,Ostuacán,Ostuacán,Chiapas
90,Osumacinta,Osumacinta,Chiapas
91,Oxchuc,Oxchuc,Chiapas
92,Palenque,Palenque,Chiapas
93,Pantelhó,Pantelhó,Chiapas
94,Pantepec,Pantepec,Chiapas
